2022-10-10 12:30:19,755: 'h':
2022-10-10 12:30:23,024: 'e':
2022-10-10 12:30:24,162: 'l':
2022-10-10 12:30:24,301: 'l':
2022-10-10 12:30:25,035: 'o':
2022-10-10 12:30:46,302: Key.backspace:
2022-10-10 12:30:47,466: Key.backspace:
2022-10-10 12:31:57,607: Key.delete:
2022-10-10 12:32:09,161: 'o':
2022-10-10 12:32:10,735: Key.backspace:
2022-10-10 12:32:11,344: 'p':
2022-10-10 12:32:11,565: 'y':
2022-10-10 12:32:11,878: 't':
2022-10-10 12:32:12,784: Key.backspace:
2022-10-10 12:32:14,419: 'n':
2022-10-10 12:32:15,783: 'p':
2022-10-10 12:32:16,111: 'u':
2022-10-10 12:32:16,329: 't':
2022-10-10 12:32:18,048: Key.enter:
2022-10-10 12:32:22,874: Key.ctrl_l:
2022-10-10 12:32:22,991: '\x13':
2022-10-10 12:32:35,054: Key.ctrl_l:
2022-10-10 12:32:36,153: Key.ctrl_l:
2022-10-10 12:32:36,458: '\x03':
2022-10-10 12:32:53,672: Key.ctrl_l:
2022-10-10 12:32:53,940: '\x03':
2022-10-10 12:32:54,231: '\x03':
2022-10-10 12:32:54,409: '\x03':
2022-10-10 12:32:56,646: Key.ctrl_l:
2022-10-10 12:32:56,878: '\x03':
2022-10-10 12:35:01,939: 'r':
2022-10-10 12:35:02,131: 't':
2022-10-10 12:35:02,940: 'r':
2022-10-10 12:35:03,268: 'r':
2022-10-10 12:35:03,471: 'g':
2022-10-10 12:35:03,565: 'g':
2022-10-10 12:35:04,143: 'f':
2022-10-10 12:37:33,641: 'f':
2022-10-10 12:37:33,788: 'u':
2022-10-10 12:37:33,977: 'c':
2022-10-10 12:37:34,146: 'k':
2022-10-10 12:37:34,314: Key.space:
2022-10-10 12:37:34,633: 'u':
2022-10-10 12:37:35,638: 'u':
2022-10-10 12:37:35,752: 'p':
2022-10-10 12:37:36,181: 'u':
2022-10-10 12:37:36,473: Key.space:
2022-10-10 12:37:36,823: 'd':
2022-10-10 12:39:08,732: 'd':
2022-10-10 12:39:08,919: 'g':
2022-10-10 12:39:09,107: 'g':
2022-10-10 12:39:09,278: 'e':
2022-10-10 12:39:09,294: 'r':
2022-10-10 12:39:09,482: 'r':
2022-10-10 12:39:09,663: 'r':
2022-10-10 12:39:09,663: 'f':
2022-10-10 12:39:14,115: 'd':
2022-10-10 12:39:14,302: 'd':
2022-10-10 12:39:14,922: 'd':
2022-10-10 12:39:15,188: 'd':
2022-10-10 12:39:15,469: 'd':
2022-10-10 12:39:16,672: Key.backspace:
2022-10-10 12:39:16,844: Key.backspace:
2022-10-10 12:39:17,016: Key.backspace:
2022-10-10 12:39:17,187: Key.backspace:
2022-10-10 12:39:17,359: Key.backspace:
2022-10-10 12:39:17,547: Key.backspace:
2022-10-10 12:39:19,503: 'f':
2022-10-10 12:39:20,003: 'r':
2022-10-10 12:39:20,282: 'e':
2022-10-10 12:39:28,574: 'w':
2022-10-10 12:39:29,249: 'w':
2022-10-10 12:39:29,650: 'w':
2022-10-10 12:39:29,884: 'w':
2022-10-10 12:39:30,072: 'w':
2022-10-10 12:39:30,259: 'w':
2022-10-10 12:39:30,478: 'w':
2022-10-10 12:39:31,245: 'w':
2022-10-10 12:39:31,432: 'w':
2022-10-10 12:39:31,635: 'w':
2022-10-10 12:39:39,887: 'c':
2022-10-10 12:39:40,164: 'c':
2022-10-10 12:39:40,414: 'c':
2022-10-10 12:41:19,567: 'h':
2022-10-10 12:41:27,941: 'k':
2022-10-10 12:41:28,880: 'k':
2022-10-10 12:42:06,642: Key.ctrl_l:
2022-10-10 12:42:06,830: Key.alt_l:
2022-10-10 12:42:06,908: Key.delete:
2022-10-10 12:42:28,961: 't':
2022-10-10 12:42:29,164: 'a':
2022-10-10 12:42:29,465: 's':
2022-10-10 12:42:29,686: 'k':
